"File,Name",ObjectName,Execution,Timestamp,ErrorLog,Failed_SFQID,ExecutionTime(mins)
input.sql,select current_timestamp,SUCCESS,2022-04-21 12:25:41,,,0.0009311954180399577
input3.sql,"select 1, 2, 3, 4|||
select 1|||
select 2|||",FAIL,2022-04-21 12:25:41,001003 (42000): 01a3c0d1-0000-502b-0000-57c900ef52de: SQL compilation error: syntax error line 1 at position 19 unexpected '|'. syntax error line 2 at position 0 unexpected 'select'. syntax error line 2 at position 10 unexpected '|'. syntax error line 3 at position 0 unexpected 'select'. syntax error line 3 at position 10 unexpected '|'. syntax error line 3 at position 11 unexpected '<EOF>'.,01a3c0d1-0000-502b-0000-57c900ef52de
input2.sql,select 1,SUCCESS,2022-04-21 12:30:34,,,0.0008531649907430013
input.sql,select $ENV,FAIL,2022-04-21 12:35:34,002211 (02000): 01a3c0db-0000-500f-0000-57c900ef144e: SQL compilation error: error line 1 at position 7 Session variable '$ENV' does not exist,01a3c0db-0000-500f-0000-57c900ef144e
input.sql,select ${ENV},FAIL,2022-04-21 12:35:54,001003 (42000): 01a3c0db-0000-500f-0000-57c900ef1452: SQL compilation error: syntax error line 1 at position 7 unexpected '$'.,01a3c0db-0000-500f-0000-57c900ef1452
input.sql,select current_date(),SUCCESS,2022-08-29 16:24:16,,,0.0015672405560811361
input.sql,select current_date(),SUCCESS,2022-08-29 16:25:24,,,0.0018500447273254394
C:\Users\10667775\Desktop\PythonSnowflakeExecutorV1.0.0\input\input.sql,select current_date(),SUCCESS,2022-08-29 16:26:49,,,0.0013750274976094565
C:\Users\10667775\Desktop\PythonSnowflakeExecutorV1.0.0\input\input.sql,select current_date(),SUCCESS,2022-08-29 16:28:16,,,0.000997320810953776
